 ,Area,Mean
623,394,255
624,425,255
625,377,255
626,445,255
627,324,255
628,406,255
629,394,255
630,387,255
631,330,255
632,429,255
633,380,255
634,441,255
635,378,255
636,357,255
637,417,255
638,386,255
639,392,255
640,490,255
641,417,255
642,322,255
643,408,255
644,372,255
645,412,255
646,407,255
647,444,255
648,392,255
649,495,255
650,387,255
651,357,255
652,470,255
653,362,255
654,459,255
655,332,255
656,356,255
657,320,255
658,395,255
659,496,255
660,356,255
661,500,255
662,462,255
663,430,255
664,440,255
665,416,255
666,446,255
667,340,255
668,357,255
669,429,255
670,476,255
671,408,255
672,416,255
673,359,255
674,408,255
675,468,255
676,497,255
677,372,255
678,406,255
679,424,255
680,391,255
681,416,255
682,443,255
683,472,255
684,430,255
685,334,255
686,346,255
687,496,255
688,410,255
689,326,255
690,447,255
691,438,255
692,336,255
693,319,255
694,362,255
695,346,255
696,458,255
697,477,255
698,368,255
699,308,255
700,469,255
701,305,255
702,309,255
703,385,255
704,462,255
705,311,255
706,405,255
707,477,255
708,323,255
709,309,255
710,426,255
711,389,255
712,465,255
713,398,255
714,398,255
715,315,255
716,431,255
717,396,255
718,201,255
719,344,255
720,362,255
721,360,255
722,415,255
723,276,255
724,367,255
725,443,255
726,397,255
727,452,255
728,375,255
729,487,255
730,411,255
731,290,255
732,261,255
733,480,255
734,420,255
735,362,255
736,352,255
737,253,255
738,483,255
739,383,255
740,494,255
741,456,255
742,408,255
743,406,255
744,289,255
745,473,255
746,370,255
747,421,255
748,342,255
749,469,255
750,304,255
751,470,255
752,341,255
753,335,255
754,446,255
755,342,255
756,382,255
757,437,255
758,412,255
759,353,255
760,370,255
761,342,255
762,339,255
763,350,255
764,338,255
765,446,255
766,431,255
767,455,255
768,421,255
769,480,255
770,430,255
771,361,255
772,350,255
773,482,255
774,443,255
775,386,255
776,477,255
777,384,255
778,463,255
779,364,255
780,365,255
781,419,255
782,377,255
783,423,255
784,428,255
785,306,255
786,498,255
787,382,255
788,373,255
789,475,255
790,408,255
791,377,255
792,456,255
793,403,255
794,373,255
795,340,255
796,450,255
797,407,255
798,455,255
799,446,255
800,495,255
801,410,255
802,362,255
803,474,255
804,395,255
805,421,255
806,490,255
807,422,255
808,392,255
809,364,255
810,347,255
811,370,255
812,372,255
813,491,255
814,488,255
815,418,255
816,487,255
817,425,255
818,493,255
819,270,255
820,392,255
821,495,255
822,472,255
823,366,255
824,421,255
825,275,255
826,378,255
827,384,255
828,444,255
829,430,255
830,481,255
831,379,255
832,364,255
833,380,255
834,382,255
835,325,255
836,362,255
837,459,255
838,424,255
839,378,255
840,433,255
841,350,255
842,401,255
843,399,255
844,404,255
845,376,255
846,458,255
847,424,255
848,334,255
849,453,255
850,480,255
851,479,255
852,355,255
853,440,255
854,498,255
855,471,255
856,457,255
857,413,255
858,398,255
859,421,255
860,488,255
861,369,255
862,430,255
863,428,255
864,410,255
865,462,255
866,440,255
867,435,255
868,492,255
869,438,255
870,377,255
871,406,255
872,467,255
873,462,255
874,360,255
875,485,255
876,377,255
877,308,255
878,408,255
879,405,255
880,390,255
881,478,255
882,473,255
883,325,255
884,464,255
885,485,255
886,350,255
887,404,255
888,425,255
889,431,255
890,446,255
891,492,255
892,461,255
893,392,255
894,439,255
895,448,255
896,410,255
897,478,255
898,466,255
899,487,255
900,461,255
901,382,255
902,402,255
903,455,255
904,379,255
905,410,255
906,400,255
907,434,255
908,489,255
909,400,255
910,410,255
911,385,255
912,498,255
913,397,255
914,448,255
915,448,255
916,497,255
917,410,255
918,424,255
919,482,255
920,475,255
921,388,255
922,411,255
923,375,255
924,453,255
925,415,255
926,481,255
927,414,255
928,464,255
929,445,255
930,466,255
931,394,255
932,473,255
933,446,255
934,465,255
935,371,255
936,438,255
937,432,255
938,432,255
939,308,255
940,472,255
941,460,255
942,409,255
943,458,255
944,487,255
945,487,255
946,451,255
947,408,255
948,340,255
949,293,255
950,467,255
951,281,255
952,465,255
953,431,255
954,406,255
955,390,255
956,350,255
957,430,255
958,473,255
959,482,255
960,298,255
961,480,255
962,357,255
